Table 17.4. Total above-ground biomass (million tonnes) on forest land by forest type, age class and managed forest region in Canada. 
Managed forests,Forest type,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201+,Other,Total
50,Treed Broadleaf,25.667,106.900,268.283,297.001,210.867,67.869,19.466,4.904,0.457,3.158,0.580,None,1005.152
50,Subtotal,60.990,258.016,601.840,658.680,408.156,169.089,82.722,28.880,11.325,10.510,55.816,10.061,2356.085
100,Non-treed,0.026,0.082,0.042,0.006,0.024,0.388,0.008,None,None,None,None,0.854,1.432
100,Treed Broadleaf,1.392,2.740,7.344,8.006,8.494,4.891,1.494,0.622,0.194,0.140,0.321,None,35.637
100,Treed Mixedwood,1.062,4.477,7.392,11.155,13.372,5.449,3.255,1.279,0.146,0.100,0.328,None,48.014
100,Treed Coniferous,1.460,13.965,20.217,28.171,43.473,33.691,37.229,21.505,3.309,1.095,12.046,None,216.162
100,Subtotal,3.940,21.265,34.995,47.338,65.364,44.419,41.984,23.406,3.649,1.335,12.694,0.854,301.244
Canada,Non-treed,1.304,2.372,6.994,16.119,15.491,18.175,3.285,0.256,0.155,0.104,0.059,92.940,157.255
Canada,Treed Broadleaf,120.775,345.144,765.502,1248.608,1121.162,476.915,170.533,63.484,9.144,9.905,7.860,None,4339.031
Canada,Treed Mixedwood,130.316,378.965,712.854,1047.005,992.748,623.169,293.676,122.158,30.049,14.183,20.447,None,4365.571
Canada,Treed Coniferous,191.109,926.046,1640.643,2471.491,2885.939,4129.220,3192.310,1746.623,638.619,350.899,3478.901,None,21651.800
Canada,Total,443.504,1652.527,3125.994,4783.224,5015.340,5247.479,3659.804,1932.521,677.966,375.092,3507.266,92.940,30513.656
