Table 17.0. Total above-ground biomass (million tonnes) on forest land by forest type and age class in Canada. 
Forest type,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201+,Other,Total
Non-treed,1.317,2.358,7.008,16.101,15.612,18.185,3.204,0.259,0.155,0.104,0.059,92.915,157.278
Treed Broadleaf,120.696,343.538,762.453,1246.282,1121.306,439.161,169.010,62.954,9.147,9.901,8.172,None,4292.621
Treed Mixedwood,130.846,379.610,712.818,1043.912,977.564,619.890,293.738,121.657,29.774,13.976,20.426,None,4344.213
Treed Coniferous,192.570,932.813,1651.882,2476.190,2883.801,4092.665,3211.766,1739.062,636.005,349.360,3564.974,None,21731.087
Subtotal,445.430,1658.319,3134.161,4782.486,4998.283,5169.901,3677.719,1923.933,675.081,373.341,3593.630,92.915,30525.199
