Table 15.4. Total tree volume (million m<sup>3</sup>) on forest land by forest type, age class, and managed forest region in Canada. 
Managed forests,Forest type,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201+,Other,Total
0,Non-treed,0.001,0.006,0.007,0.002,None,None,None,None,None,None,None,0.000,0.016
0,Treed Mixedwood,0.095,2.128,6.442,13.134,30.648,0.184,0.481,0.036,None,None,0.025,None,53.175
0,Treed Broadleaf,0.279,6.838,6.355,11.147,2.820,53.296,0.001,None,None,None,0.000,None,80.736
0,Treed Coniferous,0.068,1.898,7.759,14.729,13.367,6.751,8.441,1.868,2.355,0.698,30.083,None,88.017
0,Subtotal,0.442,10.871,20.563,39.013,46.835,60.232,8.923,1.904,2.355,0.698,30.108,0.000,221.945
11,Non-treed,1.146,1.340,2.451,18.983,11.770,20.860,4.222,0.295,0.246,0.193,0.093,0.000,61.599
11,Treed Broadleaf,115.466,229.387,466.884,1067.391,951.937,443.897,223.602,86.366,14.440,5.845,10.365,None,3615.580
11,Treed Mixedwood,143.262,351.646,570.071,874.002,890.057,439.628,318.416,141.202,44.907,23.472,17.397,None,3814.061
11,Treed Coniferous,181.900,659.437,1229.713,2034.420,2355.233,1733.746,2068.439,1237.119,733.415,389.873,4081.515,None,16704.811
11,Subtotal,441.775,1241.812,2269.120,3994.795,4208.996,2638.132,2614.678,1464.983,793.008,419.383,4109.371,0.000,24196.052
12,Non-treed,0.054,0.008,0.283,0.009,0.196,0.002,None,None,None,None,None,0.000,0.552
12,Treed Mixedwood,12.919,31.576,56.579,105.123,64.082,38.577,20.362,14.776,0.952,0.032,1.068,None,346.046
12,Treed Broadleaf,12.120,32.849,71.423,140.228,70.393,18.427,6.804,6.340,0.623,0.582,0.865,None,360.652
12,Treed Coniferous,25.778,193.599,194.756,342.892,333.578,201.509,128.138,80.269,32.047,14.500,146.137,None,1693.203
12,Subtotal,50.871,258.032,323.041,588.252,468.249,258.515,155.303,101.384,33.621,15.114,148.070,0.000,2400.452
13,Non-treed,0.018,0.088,3.268,5.188,13.501,10.225,0.351,0.213,None,None,None,0.000,32.854
13,Treed Broadleaf,16.803,38.156,37.712,56.411,211.605,50.759,2.115,0.527,None,1.738,None,None,415.825
13,Treed Mixedwood,18.981,41.555,46.297,138.234,247.564,402.188,81.723,11.179,0.622,2.687,0.779,None,991.809
13,Treed Coniferous,51.956,311.809,563.710,646.723,1029.947,3710.104,2036.905,692.365,40.909,8.962,53.670,None,9147.059
13,Subtotal,87.758,391.607,650.987,846.556,1502.617,4173.277,2121.094,704.285,41.531,13.386,54.449,0.000,10587.547
20,Non-treed,0.209,0.015,0.007,None,0.158,0.096,0.014,None,None,None,None,0.000,0.499
20,Treed Broadleaf,9.792,54.988,142.859,211.130,169.158,51.143,14.442,2.592,0.272,1.485,0.935,None,658.797
20,Treed Mixedwood,11.640,51.367,118.951,175.507,168.935,110.313,39.388,23.078,5.086,1.354,7.987,None,713.606
20,Treed Coniferous,19.304,141.543,264.015,537.686,564.591,825.135,649.395,312.887,202.217,97.681,1323.412,None,4937.866
20,Subtotal,40.945,247.913,525.833,924.323,902.843,986.686,703.239,338.558,207.574,100.520,1332.334,0.000,6310.768
31,Non-treed,None,None,None,None,None,None,None,None,None,None,None,0.000,0.000
31,Treed Mixedwood,0.271,3.079,1.444,9.118,2.197,4.505,0.612,0.075,0.082,None,None,None,21.382
31,Treed Broadleaf,2.693,5.007,6.907,19.272,7.885,4.764,1.035,None,None,None,None,None,47.562
31,Treed Coniferous,0.765,16.421,8.730,18.381,13.927,9.706,6.690,18.117,4.520,0.163,3.297,None,100.717
31,Subtotal,3.729,24.507,17.080,46.771,24.008,18.974,8.337,18.192,4.602,0.163,3.297,0.000,169.661
32,Non-treed,0.001,0.001,0.008,0.000,0.000,None,None,None,None,None,None,0.000,0.010
