Table 15.4. Total tree volume (million m<sup>3</sup>) on forest land by forest type, age class, and managed forest region in Canada. 
Managed forests,Forest type,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201+,Other,Total
32,Treed Mixedwood,0.639,4.248,8.122,12.901,14.034,4.832,2.867,3.892,None,None,0.671,None,52.206
32,Treed Broadleaf,5.367,16.452,19.678,13.708,7.045,9.229,1.228,1.151,None,1.503,None,None,75.361
32,Treed Coniferous,0.843,12.188,9.369,13.313,21.909,12.661,9.121,11.666,1.757,4.051,14.991,None,111.869
32,Subtotal,6.850,32.888,37.176,39.922,42.988,26.722,13.216,16.709,1.757,5.554,15.663,0.000,239.445
33,Non-treed,0.129,0.020,0.016,0.024,0.004,0.010,0.000,0.029,None,None,None,0.000,0.231
33,Treed Mixedwood,7.338,16.451,25.099,40.317,23.356,15.764,5.514,5.679,2.054,0.205,3.307,None,145.085
33,Treed Broadleaf,9.602,17.230,40.640,46.553,31.158,26.501,22.125,8.780,0.155,1.588,0.388,None,204.719
33,Treed Coniferous,16.573,77.552,89.352,145.609,161.336,123.973,177.488,112.021,70.244,63.202,515.942,None,1553.294
33,Subtotal,33.643,111.253,155.107,232.503,215.854,166.249,205.127,126.509,72.454,64.995,519.637,0.000,1903.329
40,Non-treed,None,0.011,0.001,0.201,0.397,None,1.241,None,None,None,None,0.000,1.852
40,Treed Broadleaf,1.772,4.601,3.331,9.603,37.477,11.163,0.316,1.422,None,None,None,None,69.685
40,Treed Mixedwood,1.060,8.929,4.338,6.026,8.941,57.897,6.609,5.106,0.229,None,None,None,99.134
40,Treed Coniferous,0.882,9.270,21.046,36.261,42.611,344.567,109.932,30.848,9.278,6.181,79.725,None,690.601
40,Subtotal,3.713,22.812,28.717,52.091,89.427,413.627,118.098,37.375,9.507,6.181,79.725,0.000,861.272
50,Non-treed,0.183,0.444,0.454,0.143,0.093,0.001,None,None,None,None,None,0.000,1.318
50,Treed Mixedwood,34.706,105.062,278.506,304.723,157.300,61.120,16.828,11.869,1.442,0.473,2.891,None,974.921
50,Treed Coniferous,23.972,132.112,240.826,266.940,155.993,103.651,89.184,28.898,16.091,11.844,97.557,None,1167.068
50,Treed Broadleaf,44.397,178.513,396.027,431.721,303.437,102.196,31.731,8.030,0.576,5.956,0.982,None,1503.566
50,Subtotal,103.258,416.130,915.813,1003.528,616.824,266.968,137.743,48.796,18.109,18.273,101.430,0.000,3646.872
100,Non-treed,0.039,0.129,0.049,0.006,0.042,0.607,0.014,None,None,None,None,0.000,0.887
100,Treed Broadleaf,3.425,5.001,12.765,13.824,14.850,8.572,2.589,1.230,0.410,0.258,0.564,None,63.489
100,Treed Mixedwood,2.184,8.189,12.096,18.571,22.665,10.032,5.441,2.340,0.267,0.213,0.606,None,82.605
100,Treed Coniferous,2.968,27.607,36.552,50.050,72.674,53.835,61.701,23.875,5.181,1.967,22.234,None,358.644
100,Subtotal,8.616,40.926,61.463,82.452,110.231,73.046,69.745,27.445,5.858,2.438,23.404,0.000,505.625
Canada,Non-treed,1.781,2.062,6.546,24.557,26.161,31.800,5.843,0.537,0.246,0.193,0.093,0.000,99.819
Canada,Treed Broadleaf,221.716,589.022,1204.581,2020.988,1807.764,779.948,305.986,116.438,16.476,18.955,14.098,None,7095.972
Canada,Treed Mixedwood,233.095,624.230,1127.945,1697.657,1629.779,1145.041,498.241,219.233,55.640,28.435,34.732,None,7294.029
Canada,Treed Coniferous,325.009,1583.437,2665.828,4107.004,4765.168,7125.637,5345.433,2549.933,1118.015,599.121,6368.562,None,36553.148
Canada,Total,781.601,2798.752,5004.900,7850.206,8228.873,9082.427,6155.503,2886.141,1190.377,646.704,6417.486,0.000,51042.968
